setpoint,position,motor control input,current
0.000000,-1.000000,-0.090000,-0.141094
0.000000,-1.000000,-0.090000,-0.145977
0.000000,-1.000000,-0.090000,-0.141094
0.000000,-1.000000,-0.090000,-0.141094
0.000000,-1.000000,-0.090000,-0.145977
0.000000,-1.000000,-0.090000,-0.145977
0.000000,-1.000000,-0.090000,-0.131328
0.000000,-1.000000,-0.090000,-0.170391
0.000000,-1.000000,-0.090000,-0.126445
0.000000,-1.000000,-0.090000,-0.155742
0.000000,-1.000000,-0.090000,-0.136211
0.000000,-1.000000,-0.090000,-0.145977
0.000000,-1.000000,-0.090000,-0.136211
0.000000,-1.000000,-0.090000,-0.150859
0.000000,-1.000000,-0.090000,-0.131328
0.000000,-1.000000,-0.090000,-0.160625
0.000000,-1.000000,-0.090000,-0.126445
0.000000,-1.000000,-0.090000,-0.160625
0.000000,-1.000000,-0.090000,-0.131328
0.000000,-1.000000,-0.090000,-0.155742
0.000000,-1.000000,-0.090000,-0.141094
0.000000,-2.000000,-0.120000,-0.141094
0.000000,-1.000000,-0.090000,-0.360820
0.000000,-1.000000,-0.090000,-0.053203
0.000000,-1.000000,-0.090000,-0.155742
0.000000,-1.000000,-0.090000,-0.160625
0.000000,-1.000000,-0.090000,-0.121562
0.000000,-1.000000,-0.090000,-0.150859
0.000000,-1.000000,-0.090000,-0.121562
0.000000,-1.000000,-0.090000,-0.145977
0.000000,-1.000000,-0.090000,-0.141094
0.000000,-2.000000,-0.120000,-0.141094
0.000000,-1.000000,-0.090000,-0.360820
0.000000,-1.000000,-0.090000,-0.053203
0.000000,-1.000000,-0.090000,-0.150859
0.000000,-1.000000,-0.090000,-0.160625
0.000000,-1.000000,-0.090000,-0.111797
0.000000,-1.000000,-0.090000,-0.150859
0.000000,-1.000000,-0.090000,-0.131328
